0.01,0.005,1.82,1.63,3.51,3.16,3.685,3.3225,3.875,3.5725,4.11,3.6475,4.2125,3.7925,4.1125,3.805,3.695,3.3375,3.14,2.8325,2.45,2.1825,1.84,1.5425,1.4725,1.2475,1.1875,1.005,1.1225,0.895,0.97,0.835,0.9475,0.7825,0.9825,0.865,1.115,0.9525,1.0725,0.91,1.0975
0.01,0,3.86,3.4925,7.1225,6.425,7.3425,6.6425,7.5425,6.775,7.735,7.0075,8.1325,7.3825,7.8725,7.1375,6.6875,6.05,5.1225,4.5525,3.7575,3.245,2.8225,2.405,2.38,1.9675,2.0925,1.725,2.0475,1.73,2.0225,1.725,1.9775,1.6625,1.9525,1.6425,1.915,1.63,1.925,1.6425,1.97
0.005,0.005,1.25,1.1025,2.7,2.46,3.2225,2.9325,3.66,3.2675,4.09,3.675,4.1675,3.7525,4.0425,3.7025,4.08,3.71,3.745,3.38,3.075,2.7475,2.2725,1.9775,1.6975,1.4425,1.495,1.275,1.285,1.12,1.23,1.045,1.19,1.03,1.255,1.055,1.2375,1.06,1.1925,0.995,1.1575
0.0125,0.0025,2.4575,2.2125,4.6525,4.175,4.9725,4.4775,5.5975,5.02,5.99,5.415,6.125,5.49,6.3675,5.76,6.1525,5.555,5.1025,4.605,3.9275,3.4775,3.005,2.6075,2.31,1.8775,1.835,1.53,1.6325,1.3875,1.5075,1.2375,1.49,1.295,1.555,1.345,1.6225,1.35,1.5775,1.3625,1.5675
0.005,0,3.4375,3.09,6.105,5.5075,6.605,5.92,7.04,6.4,6.945,6.285,6.8475,6.195,6.68,6.08,5.7825,5.17,4.29,3.815,3.255,2.8325,2.48,2.0475,1.985,1.655,1.7125,1.4525,1.605,1.345,1.56,1.3575,1.63,1.405,1.7025,1.4675,1.7025,1.4625,1.6575,1.3825,1.7475
0,0,2.045,1.8275,3.9675,3.6275,4.3375,3.9175,4.3625,3.9275,4.2725,3.87,4.3,3.9575,4.09,3.69,3.53,3.165,2.61,2.36,1.915,1.63,1.545,1.3175,1.2875,1.125,1.2375,1.0325,1.17,0.9875,1.1325,0.9625,1.1075,0.965,1.0175,0.84,1.065,0.91,1.11,0.97,1.2025
0.015,0.0025,2.9,2.585,5.4025,4.8775,5.86,5.355,6.175,5.5775,6.235,5.62,6.2275,5.7175,5.8675,5.36,5.175,4.645,3.8975,3.51,2.99,2.5875,2.275,1.96,1.8925,1.5525,1.635,1.38,1.535,1.3,1.415,1.175,1.4575,1.225,1.4575,1.265,1.515,1.26,1.4925,1.295,1.575
0.005,0.0025,1.6325,1.4825,3.3575,3.055,3.9325,3.5575,4.425,4,4.89,4.34,5.055,4.59,5.265,4.6975,5.1025,4.595,4.65,4.1625,3.7125,3.325,2.855,2.5275,2.215,1.9125,1.7625,1.5425,1.565,1.325,1.43,1.1575,1.3175,1.1275,1.3725,1.1825,1.4025,1.2475,1.5475,1.305,1.4075
0.005,0,2.045,1.8375,4.1175,3.7125,4.6425,4.21,4.9825,4.46,5.17,4.695,5.4825,4.895,5.905,5.33,5.565,5.0625,4.6125,4.1575,3.685,3.2675,2.7425,2.46,2.135,1.795,1.7325,1.405,1.595,1.325,1.49,1.315,1.5125,1.28,1.6325,1.4075,1.6325,1.435,1.6275,1.355,1.6375
0.0025,0.0025,3.515,3.1625,6.615,5.9925,6.8475,6.205,6.79,6.13,7.085,6.3975,7.52,6.81,7.2675,6.5925,6.2075,5.5925,4.73,4.1775,3.4775,2.9875,2.615,2.23,2.22,1.8225,1.98,1.6675,1.9275,1.6775,1.84,1.5675,1.7425,1.4975,1.6975,1.4525,1.7225,1.485,1.6925,1.4575,1.7525
