21.056,22.571,19.472,20.132,17.986,22.245,16.923,14.887,19.934,19.031,19.903,16.383,20.19,22.202,18.493,15.44,17.119,18.611,17.025,21.743,23.627,20.496,14.37,22.268,19.415,19.627,16.828,17.924,17.053,22.217,21.594,21.054,11.832,19.591,24.132,17.304,23.61,17.449,11.218,15.396
21.945,20.393,22.246,18.791,20.834,18.405,18.428,14.106,9.1989,18.44,19.94,13.986,14.072,19.912,17.355,16.333,17.394,16.904,16.616,14.981,16.996,14.598,17.818,14.182,20.397,21.957,18.012,20.783,20.3,20.756,17.653,20.724,17.738,19.361,21.655,16.954,20.55,15.286,20.17,16.635
22.75,12.79,14.712,23.382,26.199,14.378,16.054,26.106,23.582,26.358,22.517,18.666,17.121,21.617,22.345,18.97,19.4,17.612,23.985,16.948,13.334,24.213,12.008,28.615,18.769,12.919,18.721,11.914,24.871,18.388,25.954,18.462,18.11,17.511,25.049,25.776,18.414,19.662,25.785,15.512
17.313,21.904,21.133,19.317,17.835,20.331,22.945,22.602,22.808,23.089,17.291,16.106,20.813,21.119,17.61,19.007,16.259,20.056,19.071,21.098,18.043,18.296,18.671,20.138,18.08,21.105,21.716,20.713,21.821,19.134,19.859,19.207,20.539,20.998,17.357,20.138,17.332,19.36,25.545,19.328
13.364,14.78,12.556,17.29,12.262,13.615,9.8944,16.144,10.677,10.431,13.948,14.274,14.834,15.67,16.123,12.951,16.099,16.985,14.891,16.371,11.154,13.794,14.4,12.552,12.796,16.037,14.999,15.671,14.44,15.357,9.8622,11.489,12.362,16.99,12.66,13.908,10.181,14.557,16.096,13.537
8.5401,11.613,7.5923,9.5492,12.832,13.322,10.922,9.5682,9.6143,10.79,10.327,7.4852,9.6746,8.0446,8.72,8.0498,11.108,10.741,10.099,9.5431,11.502,8.3459,7.9439,10.307,11.125,8.0488,7.0038,7.8088,10.075,9.1406,11.419,11.077,6.7701,10.481,10.947,8.7456,11.46,10.566,10.761,6.5424
24.276,29.147,35.941,27.997,33.281,32.054,36.401,36.835,32.076,31.338,23.691,34.323,36.025,37.237,37.434,26.07,37.94,38.272,31.178,34.482,39.669,27.958,27.442,36.949,35.771,33.783,38.736,27.724,32.102,36.838,31.445,36.684,24.132,34.624,37.34,36.056,33.123,34.646,37.594,35.493
23.301,26.647,30.518,32.149,27.903,31.224,28.733,33.352,24.382,36.252,36.546,35.574,34.834,35.4,28.6,22.275,34.956,26.55,29.499,22.328,35.964,33.26,32.724,34.547,28.065,36.742,29.831,35.219,32.332,25.329,32.936,34.692,39.279,33.004,32.285,35.551,32.913,33.536,32.123,28.743
48.541,27.394,38.994,45.251,41.302,31.224,34.215,38.216,41.757,44.417,44.489,40.091,42.621,42.641,38.665,43.94,43.567,36.506,45.448,31.694,42.216,40.263,37.439,32.909,46.304,32.888,37.869,44.798,42.015,44.247,45.11,35.388,23.737,39.578,42.585,45.185,43.011,45.83,47.37,33.382
20.101,19.799,16.401,14.093,18.417,17.544,18.863,18.327,15.405,13.94,18.408,14.721,9.8314,13.17,14.822,16.444,19.339,14.834,14.03,15.209,15.642,16.561,18.494,12.537,14.677,14.949,10.619,13.139,18.229,17.414,13.665,18.159,16.171,16.233,20.121,9.6649,17.492,16.789,16.386,12.738
