5.0001,5.0497,5.2524,5.5729,5.4613,5.8123,6.4345,7.099,7.9979,9.1072,10.817,12.402,14.692,17.24,20.452,23.712,27.198,30.724,34.421,37.958,40.615,42.67,43.999,44.847,45.729,46.732,46.898,46.799,46.675,46.848,47.291,47.3,47.271,46.644,46.563,46.355,46.834,46.412,46.666,46.383,46.549
5.0001,4.9292,5.3076,5.6796,6.2229,6.784,7.8413,9.1279,11.216,13.702,17.175,21.193,26.404,31.845,38.607,45.377,52.801,59.811,65.974,70.747,75.098,78.005,79.668,80.445,81.126,81.072,81.246,80.755,80.724,81.214,81.087,81.538,80.962,80.281,80.514,80.472,80.255,80.433,80.506,80.058,79.617
5.0001,5.0043,5.2733,5.4963,5.8083,6.1905,6.7351,7.4263,8.2765,9.0253,10.513,12.331,14.358,16.953,19.788,23.156,27.085,30.915,34.995,38.536,42.263,45.566,47.604,49.938,50.941,51.534,52.335,53.386,53.627,53.906,54.041,53.92,53.081,53.231,52.79,53.029,52.875,52.763,52.862,53.179,53.175
5.0002,5.0814,5.2395,5.5725,5.7692,6.1818,6.9465,7.9235,9.1896,10.819,13.179,15.813,19.338,22.778,27.298,32.024,37.512,43.338,49.688,55.285,60.392,63.991,66.768,68.566,69.562,70.945,71.402,72.159,71.604,72.073,71.841,71.96,71.228,71.317,70.388,71.34,71.199,71.63,71.694,71.667,71.209
5,5.2741,5.5,5.8458,6.2028,6.5855,7.4993,8.562,10.452,12.692,15.67,19.261,23.72,28.719,34.445,40.629,47.364,53.681,59.852,63.827,66.748,68.413,69.103,70.132,70.718,71.439,71.429,71.414,71.573,71.434,71.534,71.342,71.763,70.882,71.021,71.224,71.578,71.165,70.258,70.079,70.695
5.0001,5.3156,5.6499,5.9192,6.261,6.539,7.3449,8.1929,9.46,11.102,13.055,15.29,18.362,21.679,25.479,29.394,33.517,37.092,40.232,42.288,44.296,45.398,46.046,46.547,46.174,46.686,47.371,47.407,47.351,47.583,47.302,47.396,47.562,47.9,47.76,47.188,46.915,46.741,46.864,46.442,46.948
5.0001,5.1214,5.4582,5.8291,6.2785,6.7051,7.505,8.4024,10.123,12.18,14.608,17.543,21.519,26.119,31.381,37.303,43.415,49.341,54.363,58.048,60.786,62.572,64.198,64.563,64.889,65.022,64.816,65.478,65.406,66.186,66.124,66.007,65.716,65.809,65.825,65.262,65.33,64.998,65.154,64.869,65.547
5,5.3167,5.5764,5.6923,6.0345,6.3689,6.9649,7.7206,8.75,9.8698,11.519,13.468,15.957,18.918,22.161,26.037,30.513,35.187,39.981,44.097,48.33,51.839,54.703,57.329,58.964,59.791,60.579,60.885,60.677,61.2,61.766,62.134,61.797,61.812,61.973,61.522,61.262,61.527,60.613,61.029,60.594
5.0002,5.2442,5.4488,5.6679,5.9856,6.3857,6.8451,7.6941,8.8904,10.318,12.121,14.492,17.416,20.695,24.751,29.196,33.79,38.962,44.898,49.797,53.959,57.924,60.988,63.279,64.283,65.491,65.84,66.045,65.706,65.558,65.047,65.381,65.114,64.938,65.505,65.498,65.423,65.598,65.326,65.172,64.601
5.0001,5.2411,5.4136,5.7004,6.1825,6.4905,7.4977,8.7035,10.707,13.064,16.089,19.755,24.309,29.097,35.416,41.645,48.111,54.999,61.705,66.186,69.6,72.184,74.04,75.197,75.728,75.621,75.482,75.495,76.302,76.238,76.135,76.431,75.978,76.47,76.556,76.325,75.714,75.796,75.889,75.903,74.715
5,5.288,5.5505,5.8343,6.1404,6.4141,7.1381,7.9691,9.2666,10.726,12.62,14.796,17.51,20.704,24.616,28.698,32.915,37.483,41.989,46.387,50.244,52.817,54.291,55.507,56.698,57.53,57.72,58.191,57.705,58.209,58.439,58.334,57.728,57.851,57.795,57.782,57.567,57.34,56.64,56.799,56.771
4.9999,4.9562,5.2143,5.4689,5.6357,5.9263,6.6826,7.7096,9.2066,10.865,13.301,15.995,19.337,22.732,27.272,32.01,36.839,41.78,46.07,50.624,53.847,56.557,57.968,58.695,58.796,59.553,59.208,59.174,59.691,59.913,59.687,59.092,59.369,59.127,59.551,59.011,58.547,58.657,58.799,58.876,58.733
